Item Num,Item Description,Material Status,OH Qty,OH Cost,Landed Cost,Excess 6 Mo.,Excess 6M C,Gr.Req.6Mo,Gr.Req.6M C,MOQ,Gr.Req.7Mo,Gr.Req.7M C,GrReg7-12less,Hist 6 Mo,Hist 6M CST,Hist 12 Mo,Hist 12M CS,Merc Type,Product Hierarchy,Brand,Category,Sub-Category,ABC,Ticketed For,MSRP,MAP,SAP,New MSRP,MSSP,Tckt Prc,Plant,Inner Pack,Master Pack,Catlg Prc,Profit Ctr,MRP Controller,Sfty Ind.,Sfty wkdays,UPC #,Excess 9 Mo.,Excess 9M C,Gr.Req.9Mo,Gr.Req.9M C,Material Text1,Material Text2,Material Text3,Material Text4,Material Text5,Material Text6,Material Text7,XDst Status,Mate
5124795,FW WM 3 IN 1 CAN OPENER RED,21,47824,146819.68,3.07,38338,117697.66,9486,29122.02,3600,8788,0,5188,9095,27921.65,33059,101308.35,OSH,FARBERWARE GADGETS OPENERS,FARBERWARE,GADGETS,OPENERS,A,568,0,0,8.97,12.99,0,0,1000,4,16,6.5,40005,253,,0,24131267002,32020,98301.4,15804,48518.28,,,,,,,,,ZITM
5125971,PFZ STUDIO PSTRL LVS 13.75IN F,21,17968,110862.56,6.17,17968,110862.56,0,0,1000,0,0,    1000.000-,0,0,60,370.2,BXD,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,568,0,0,0,19.99,14.88,0,1000,0,2,12,40040,551,,0,25398113217,17968,110862.56,0,0,,,,,,,,,ZITM
5155645,BLT COSTCO ORIGAMI SET OF 3,10,12528,98344.8,7.85,12528,98344.8,0,0,5000,0,0,    5000.000-,   13605.000-, 106822.80-,   13605.000-, 106822.80-,PLD,BUILT WINE WINE TOTE,BUILT,WINE,WINE TOTE,C,4049,0,0,0,0,0,0,1000,0,108,0,40075,609,1,0,8.44983E+11,12528,98344.8,0,0,,,,,,,,,ZITM
5076699,KIZMOS 250CT STRAWS FLOOR DISP,10,2782,97731.66,35.13,2382,83679.66,400,14052,50,0,0,      50.000-,6,210.78,6,210.78,FLD,KIZMOS GADGETS HOUSEHOLD,KIZMOS,GADGETS,HOUSEHOLD,B,,0,2.99,0,2.99,0,0,1000,0,1,57,40005,201,1,0,24131139033,2382,83679.66,400,14052,,,,,,,,,ZITM
5125976,PFZ STUDIO SARINA 12IN FIGURAL,21,19096,82876.64,4.34,19096,82876.64,0,0,1000,0,0,    1000.000-,0,0,18,78.12,BXD,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,568,0,0,0,19.99,14.88,0,1000,0,2,10,40040,551,,0,25398113231,19096,82876.64,0,0,,,,,,,,,ZITM
5159054,FW RES 3.5IN PAR AND 5IN SANTO,10,46330,89880.2,1.94,42448,82349.12,3882,7531.08,2000,2698,0,698,1022,1982.73,6026,11940.69,OSH,FARBERWARE CUTLERY OPEN STOCK,FARBERWARE,CUTLERY,OPEN STOCK,B,661,0,0,9.99,14,0,14.99,1000,3,12,5,40010,351,,0,45908069704,40566,78698.04,5764,11182.16,,,,,,,,,ZITM
KN308OSERT,KA GMT SALAD SPINNER RED TARGE,21,8494,77550.22,9.13,8266,75468.58,228,2081.64,3600,140,0,    3460.000-,514,4692.82,5887,53748.31,OSS,KITCHENAID GADGETS FRUIT & VEG,KITCHENAID,GADGETS,FRUIT & VEG,C,1724,0,34.99,34.99,44.99,34.99,0,1000,0,2,17.5,40005,453,1,0,24131265732,8176,74646.88,318,2903.34,,,,,,,,,ZITM
5159053,FW RESIN 5.5IN UTIL 3.5IN PAR,10,48741,77985.6,1.6,47096,75353.6,1645,2632,5000,2733,0,    2267.000-,567,907.24,5571,9113.8,OSH,FARBERWARE CUTLERY OPEN STOCK,FARBERWARE,CUTLERY,OPEN STOCK,B,661,0,0,9.99,14.99,0,14.99,1000,3,12,5.5,40010,351,,0,45908069698,45534,72854.4,3207,5131.2,,,,,,,,,ZITM
5154853,MKSA CHEERS S8 WHEAT BEER SET,10,7612,79781.37,10.481,6917,72497.08,695,7284.3,1,745,0,744,947,9925.11,2641,27526.44,BXD,MIKASA DRINKWARE BAR  ACCESSO,MIKASA,DRINKWARE,BAR  ACCESSO,B,,0,0,0,68,39.99,0,1000,0,2,20,40050,506,,0,8.85991E+11,6561,68765.84,1051,11015.53,,,,,,,,,ZITM
5125972,PFZ PASTRL LVS 9.5IN FIG VEG B,21,18061,72424.61,4.01,18061,72424.61,0,0,1000,0,0,    1000.000-,0,0,8,32.08,BXD,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,568,0,0,0,19.99,14.88,0,1000,0,2,7,40040,551,,0,25398113224,18061,72424.61,0,0,,,,,,,,,ZITM
