02 2016																																																																																																																																																										
Company	Planner	Available User Field 3	Division	Ship To	Item	Description	UPC Code	Class 1	Class 2	Class 3	Class 4	SOP Flag	ABC Code 1	ABC Code 3	Forecast Flag	Future Cost	Future Price	Unsigned Error	Original History  1	Original History  2	Original History  3	Original History  4	Original History  5	Original History  6	Original History  7	Original History  8	Original History  9	Original History 10	Original History 11	Original History 12	Original History 13	Original History 14	Original History 15	Original History 16	Original History 17	Original History 18	Original History 19	Original History 20	Original History 21	Original History 22	Original History 23	Original History 24	Original History 25	Original History 26	Original History 27	Original History 28	Original History 29	Original History 30	Original History 31	Original History 32	Original History 33	Original History 34	Original History 35	Original History 36	Adjusted History  1	Adjusted History  2	Adjusted History  3	Adjusted History  4	Adjusted History  5	Adjusted History  6	Adjusted History  7	Adjusted History  8	Adjusted History  9	Adjusted History 10	Adjusted History 11	Adjusted History 12	Adjusted History 13	Adjusted History 14	Adjusted History 15	Adjusted History 16	Adjusted History 17	Adjusted History 18	Adjusted History 19	Adjusted History 20	Adjusted History 21	Adjusted History 22	Adjusted History 23	Adjusted History 24	Adjusted History 25	Adjusted History 26	Adjusted History 27	Adjusted History 28	Adjusted History 29	Adjusted History 30	Adjusted History 31	Adjusted History 32	Adjusted History 33	Adjusted History 34	Adjusted History 35	Adjusted History 36	Adjusted Forecast  1	Adjusted Forecast  2	Adjusted Forecast  3	Adjusted Forecast  4	Adjusted Forecast  5	Adjusted Forecast  6	Adjusted Forecast  7	Adjusted Forecast  8	Adjusted Forecast  9	Adjusted Forecast 10	Adjusted Forecast 11	Adjusted Forecast 12	System Forecast  1	System Forecast  2	System Forecast  3	System Forecast  4	System Forecast  5	System Forecast  6	System Forecast  7	System Forecast  8	System Forecast  9	System Forecast 10	System Forecast 11	System Forecast 12	Birth Date	Discontinue Date	Independent Demand 1	Independent Demand 2	Independent Demand 3	Independent Demand 4	Independent Demand 5	Independent Demand 6	Independent Demand 7	Independent Demand 8	Independent Demand 9	Independent Demand 10	Independent Demand 11	Independent Demand 12	Historical Cost  1	Historical Price1	Historical Price2	Historical Price3	Historical Price4	Historical Price5	Historical Price6	Historical Price7	Historical Price8	Historical Price9	Historical Price10	Historical Price11	Historical Price12	Historical Price13	Historical Price14	Historical Price15	Historical Price16	Historical Price17	Historical Price18	Historical Price19	Historical Price20	Historical Price21	Historical Price22	Historical Price23	Historical Price24	Interpolation Counter
	COCCHIOL	606	1000	120451	00300-85	FW BAR HI-TECH CAN OPENER	024131003006	10	40005FARBERWARE	GADGETS00101024	06672040005	N	E	E	N	1.06      	1.5       	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20160202		0	1440	0	0	0	0	0	0	0	0	0	0	1.06000000	1.50000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1
	KNAFELC	606	1000	177072	00300-85	FW BAR HI-TECH CAN OPENER	024131003006	10	40005FARBERWARE	GADGETS00101024	07045040005	Y	B		Y	1.06      	4.28      	19.8	240	48	432	0	336	192	96	384	0	240	144	288	0	192	96	384	96	192	432	0	0	0	48	192	48	0	336	192	96	192	96	96	144	384	48	192	240	48	432	0	336	192	96	384	0	240	144	288	0	192	96	384	96	192	432	0	0	0	48	192	48	0	336	192	96	192	96	96	144	384	48	192	286	102	265	75	249	324	238	218	238	458	127	153	286	102	265	75	249	324	238	218	238	458	127	153	20110414		0	0	0	0	0	0	0	0	0	0	0	0	1.06000000	4.28000000	4.28000000	4.28000000	.000000000	4.28000000	4.28000000	4.28000000	4.28000000	.000000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	.000000000	4.28000000	.000000000	4.28000000	4.28000000	13
	SIMPATIC	606	1000	9999999	00300-85	FW BAR HI-TECH CAN OPENER	024131003006	10	40005FARBERWARE	GADGETS00101024	00000040005	N			N	1.06      	4.27      	.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20160202		912	0	0	0	0	0	0	0	0	0	0	0	.000000000	.000000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
		606	1000	============	00300-85	FW BAR HI-TECH CAN OPENER	024131003006	10	40005FARBERWARE	GADGETS00101024	00000040005	Y			N	1.06000000	4.28000000	.0	240	48	432	0	336	192	96	384	0	240	144	288	0	192	96	384	96	192	432	0	0	0	48	192	48	0	336	192	96	192	96	96	144	384	48	192	240	48	432	0	336	192	96	384	0	240	144	288	0	192	96	384	96	192	432	0	0	0	48	192	48	0	336	192	96	192	96	96	144	384	48	192	286	1302	265	75	249	324	238	218	238	458	127	153	286	102	265	75	249	324	238	218	238	458	127	153	20160202		912	1440	0	0	0	0	0	0	0	0	0	0	1.06000000	4.28000000	4.28000000	4.28000000	0.00000000	4.28000000	4.28000000	4.28000000	4.28000000	0.00000000	4.28000000	4.28000000	4.28000000	0.00000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	4.28000000	0.00000000	0.00000000	0.00000000	4.28000000	4.28000000	
	WAY	606	1000	141957	00301-85	FW BAR WAITERS CORKSCREW	024131003013	10	40005FARBERWARE	GADGETS00101042	03722040005	Y	B	E	Y	0.38      	1.07      	21.4	816	0	1056	1056	0	1152	0	1920	0	1200	0	0	960	0	1248	1440	0	1488	0	1056	1152	912	0	912	1056	864	0	816	816	0	0	0	0	0	0	0	816	0	1056	1056	0	1152	0	1920	0	1200	0	0	960	0	1248	1440	0	1488	0	1056	1152	912	0	912	1056	864	0	816	816	0	0	0	0	0	0	0	511	900	700	900	700	900	676	209	849	564	212	694	284	0	658	421	1087	0	676	209	849	564	212	694	20110414		0	0	0	0	0	0	0	0	0	0	0	0	.380000000	1.07000000	.000000000	1.07000000	1.07000000	.000000000	1.07000000	1.07      	1.07000000	.000000000	1.07000000	1.07000000	1.07000000	1.07000000	.000000000	1.07000000	1.07000000	1.07000000	1.07000000	.000000000	1.07000000	1.07000000	1.07000000	1.07000000	1.07000000	13
	KNAFELC	606	1000	177072	00301-85	FW BAR WAITERS CORKSCREW	024131003013	10	40005FARBERWARE	GADGETS00101042	07045040005	Y	B	X	Y	0.38      	1.87      	24.7	96	0	624	0	864	480	432	432	0	864	480	864	144	432	0	480	1632	288	432	768	288	624	576	144	0	0	0	1968	672	384	240	720	432	288	864	432	96	0	624	0	864	480	432	432	0	864	480	864	144	432	0	480	1632	288	432	768	288	624	576	144	0	0	0	1968	672	384	240	720	432	288	864	432	475	634	586	238	634	364	380	1046	808	206	143	79	475	634	586	238	634	364	380	1046	808	206	143	79	20110414		0	0	0	0	0	0	0	0	0	0	0	0	.380000000	1.87000000	1.87      	1.87000000	1.87      	1.87000000	1.87000000	1.87000000	1.87000000	1.87      	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	1.87000000	13
	SIMPATIC	606	1000	9999999	00301-85	FW BAR WAITERS CORKSCREW	024131003013	10	40005FARBERWARE	GADGETS00101042	00000040005	N	C		Y	0.38      	1.48      	27.2	96	96	0	96	192	149	192	146	144	50	48	240	49	0	96	52	0	0	290	242	195	48	96	0	97	150	97	96	0	432	60	0	145	432	437	240	96	96	0	96	192	149	192	146	144	50	48	240	49	0	96	52	0	0	290	242	195	48	96	0	97	150	97	96	0	432	60	0	145	432	437	240	131	159	145	133	106	148	159	53	67	53	67	66	131	159	145	133	106	148	159	53	67	53	67	66	20120731		0	0	0	0	0	0	0	0	0	0	0	0	.380000000	2.00000000	2.00000000	1.17      	2.00000000	1.50000000	1.93000000	2.00000000	1.97000000	2.00000000	1.92000000	2.00000000	1.28000000	1.96000000	1.38000000	2.00000000	1.85000000	1.30000000	1.30000000	1.11000000	1.98000000	1.74000000	2.13000000	2.13000000	1.17000000	13
		606	1000	============	00301-85	FW BAR WAITERS CORKSCREW	024131003013	10	40005FARBERWARE	GADGETS00101042	00000040005	Y	C		N	0.38000000	1.45828111	.0	1008	96	1680	1152	1056	1781	624	2498	144	2114	528	1104	1153	432	1344	1972	1632	1776	722	2066	1635	1584	672	1056	1153	1014	97	2880	1488	816	300	720	577	720	1301	672	1008	96	1680	1152	1056	1781	624	2498	144	2114	528	1104	1153	432	1344	1972	1632	1776	722	2066	1635	1584	672	1056	1153	1014	97	2880	1488	816	300	720	577	720	1301	672	1117	1693	1431	1271	1440	1412	1215	1308	1724	823	422	839	890	793	1389	792	1827	512	1215	1308	1724	823	422	839	20120731		0	0	0	0	0	0	0	0	0	0	0	0	0.38000000	1.23476190	2.00000000	1.36714285	1.14750000	1.80272727	1.35755755	1.91000000	1.26095276	2.00000000	1.41706717	1.88181818	1.74173913	1.20773634	1.87000000	1.13642857	1.28529411	1.87000000	1.19972972	1.56473684	1.47397870	1.29082568	1.41727272	1.90714285	1.17909090	
	WAY	606	1000	141966	00302-85	FW BAR WAITERS CORKSCREW	024131003020	10	40005FARBERWARE	GADGETS00101042	00000040005	Y	B		Y	0.41      	1.68      	24.7	240	144	240	336	288	240	288	48	240	144	96	96	288	0	288	336	192	144	336	288	192	0	288	192	288	240	144	432	0	384	576	0	288	816	0	0	240	144	240	336	288	240	288	48	240	144	96	96	288	0	288	336	192	144	336	288	192	0	288	192	288	240	144	432	0	384	576	0	288	816	0	0	288	211	186	173	81	289	266	166	383	211	121	257	56	75	186	173	81	289	266	166	383	211	121	257	20110414		0	0	0	0	0	0	0	0	0	0	0	0	.410000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	.000000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	1.68000000	.000000000	1.68000000	1.68000000	13
	KNAFELC	606	1000	177072	00302-85	FW BAR WAITERS CORKSCREW	024131003020	10	40005FARBERWARE	GADGETS00101042	07045040005	Y	A	X	Y	0.41      	2.14      	15.9	432	432	432	288	336	432	576	528	336	672	480	816	144	192	1008	624	624	480	336	816	432	768	1008	384	576	0	960	720	480	480	576	768	720	672	624	480	432	432	432	288	336	432	576	528	336	672	480	816	144	192	1008	624	624	480	336	816	432	768	1008	384	576	0	960	720	480	480	576	768	720	672	624	480	487	612	612	431	612	431	404	418	473	696	181	334	487	612	612	431	612	431	404	418	473	696	181	334	20110414		0	0	0	0	0	0	0	0	0	0	0	0	.410000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.68000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	2.14000000	13
