Target March 2016 Kizmos Color End Cap,,KITCHENWARE DIVISION,,,,Target March 2016 Kizmos Color End Cap,,CUTLERY DIVISION,,
updated 10.15.15,,,,,,updated 10.6.15,,,,
 Quantity units/sku ,," 589,380 "," 955,510 "," 1,544,890 ",, Quantity units/sku ,,0,0,0
,,,,,,,,,,
,,Set Order,Replenishment ,Grand Total,,,,Set Order,Replenishment ,Grand Total
,,,,,,,,,,
RETAIL,," $1,342,179.00 "," $2,300,368.00 "," $3,642,547.00 ",,RETAIL,, $-   , $-   , $-   
NET SALES AT BILLING,," $671,089.50 "," $1,150,184.00 "," $1,821,273.50 ",,NET SALES AT BILLING,, $-   , $-   , $-   
PMU,,50.00%,50.00%,50.00%,,PMU,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,
PROMO. DISCOUNT,0.00%, $-   , $-   , $-   ,,PROMO. DISCOUNT,0.00%, $-   , $-   , $-   
SERVICE,0.00%, $-   , $-   , $-   ,,SERVICE,0.00%, $-   , $-   , $-   
MD FUND (ALL BUT CUT/CBD),5.00%," $33,554.48 "," $57,509.20 "," $91,063.68 ",,MD FUND (ALL BUT CUT/CBD),5.00%, $-   , $-   , $-   
FIXTURES (amortize over 2 years),0.00%, $-   , $-   , $-   ,,FIXTURES (amortize over 2 years),0.00%, $-   , $-   , $-   
REBATE-T&G (max at 3.5%),3.50%," $23,488.13 "," $40,256.44 "," $63,744.57 ",,REBATE-Cutlery Max 1.5%,1.50%, $-   , $-   , $-   
Target Wedding,0.00%, $-   , $-   , $-   ,,Target Wedding,0.00%, $-   , $-   , $-   
ADVERTISING-T&G,0.75%," $5,033.17 "," $8,626.38 "," $13,659.55 ",,ADVERTISING-Cutlery/Cbds,1.25%, $-   , $-   , $-   
DEFECTIVE ALL.,2.00%," $13,421.79 "," $23,003.68 "," $36,425.47 ",,DEFECTIVE ALL.,2.00%, $-   , $-   , $-   
COMPLIANCE,0.00%, $-   , $-   , $-   ,,COMPLIANCE,0.00%, $-   , $-   , $-   
REBATE-CUTLERY/CBDS,0.00%, $-   , $-   , $-   ,,OTHER,0.00%, $-   , $-   , $-   
MISC.,2.50%," $16,777.24 "," $28,754.60 "," $45,531.84 ",,MISC.,2.50%, $-   , $-   , $-   
ADVERTISING-CUTLERY/CBDS,0.00%, $-   , $-   , $-   ,,OTHER,0.00%, $-   , $-   , $-   
NEW STORES,1.00%," $6,710.89 "," $11,501.84 "," $18,212.74 ",,NEW STORES,1.00%, $-   , $-   , $-   
TOTAL DEDUCTIONS,," $98,985.70 "," $169,652.14 "," $268,637.84 ",,TOTAL DEDUCTIONS,, $-   , $-   , $-   
,,,,,,,,,,
NET SALES,," $572,103.80 "," $980,531.86 "," $1,552,635.66 ",,NET SALES,, $-   , $-   , $-   
,,,,,,,,,,
PRETICKETING,0.00%, $-   , $-   , $-   ,,PRETICKETING,0.00%, $-   , $-   , $-   
PICK & PACK,0.00%, $-   , $-   , $-   ,,PICK & PACK,0.00%, $-   , $-   , $-   
FREIGHT,0.00%, $-   , $-   , $-   ,,FREIGHT,0.00%, $-   , $-   , $-   
ROYALTY (or as negotiated),0.00%, $-   , $-   , $-   ,,ROYALTY (or as negotiated),0.00%, $-   , $-   , $-   
PRODUCT DEVELOPMENT,1.00%," $6,710.89 "," $11,501.84 "," $18,212.74 ",,PRODUCT DEVELOPMENT,1.00%, $-   , $-   , $-   
TERMS,2.20%," $12,638.44 "," $21,641.25 "," $34,279.69 ",,TERMS,2.20%, $-   , $-   , $-   
COMMISSION,2.00%," $13,374.37 "," $22,972.07 "," $36,346.44 ",,COMMISSION,2.00%, $-   , $-   , $-   
AUDIT/TESTING,0.00%, $-   , $-   , $-   ,,AUDIT/TESTING,0.00%, $-   , $-   , $-   
LANDED COST,," $358,214.45 "," $517,272.04 "," $875,486.48 ",,LANDED COST,, $-   , $-   , $-   
TOTAL,," $390,938.16 "," $573,387.19 "," $964,325.35 ",,TOTAL,, $-   , $-   , $-   
,,,,,,,,,,
CM,," $181,165.64 "," $407,144.67 "," $588,310.31 ",,CM,, $-   , $-   , $-   
,,,,,,,,,,
C.M.%,,31.67%,41.52%,37.89%,,C.M.%,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,
 FC ,,,,,, FC ,,,,
 LC ,,,,,, LC ,,,,
Includes $.03 for flag tag,,,,,,Includes $.03 for flag tag,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
