AKTNR,ANZAUF,BOMAT,BOSTA,Exclude,FKWRT,GKWRT,KAPPL,KBETR,KBRUE,KFRST,KLF_KAL,KLF_STG,KMEIN,KNUMA_AG,KNUMA_BO,KNUMA_PI,KNUMA_SQ,KNUMH,KNUMT,KOMXWRT,KONMS,KONWA,KONWS,KOPOS,KPEIN,KRECH,KSCHL,KSPAE,KSTBM,KSTBW,KUMNE,KUMZA,KUNNR,KWAEH,KZBZG,KZNEP,LIFNR,LOEVM_KO,MANDT,MDFLG,MEINS,MIKBAS,MWSK1,MWSK2,MXKBAS,MXWRT,PKWRT,PRSCH,RSWRT,STFKZ,UASTA,UKBAS,VALDT,VALTG,VBEWA,VERTN,VERTT,VKKAL,ZAEHK_IND,ZTERM
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003928700, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003928701, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003928702, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003928703, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003930675, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003930676, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003930677, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0003930678, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280297, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280298, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280299, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280300, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280301, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280302, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280303, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280304, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00, , ,,0,0,V,-100,0, ,0000,0000, , , , , ,0004280710, ,0, ,%, ,01,0,A,ZRSA, ,0,0,0,0, ,USD, , , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
